English,Gothic
midday -- midday breakfast,got. undaúrn-i-mat-s* 1
middle (Adj.),got. mid-ji-s* 10
middle (N.),got. mid-um-a* 6
-- in the middle,got. mid-ji-s* 10
midst,got. mid-um-a* 6
might (N.),got. mah-t-s (1) 72
mighty,got. reik-ei-s* (1) 3
mild,"got. *lam-ei-s, *lind-, *mil-d-ei-s, qaír-r-u-s 2, sðt-i-s 8"
-- lovingly mild,got. fri-aþ-w-a-mil-d-s* 1
mildness,"got. mil-d-iþ-a* 1, qaír-r-ei 7, *sðt-i?"
-- serve in the military,got. milit-æn* 1
mile -- germanic mile,got. ra-s-t-a* 1
military service,got. draú-h-t-i-n-a-s-su-s* 1
-- do military service in,got. driu-g-an* 1
milk (N.),got. miluk-s* 1
mill (N.),got. *qaír-nu-s?
millstone,got. asilu-qaír-nu-s 1
milt,got. *mil-t-i
mina,got. skat-t-s 14
mind (N.),"got. ah-a* 6, ga-hug-d-s* 12, ga-hug-d-s* 12, ga-mi-t-æn-s* 1, hug-s* (1)"
-- of the same mind,"got. sam-a-fraþ-ji-s* 1, sam-a-sai-w-al-s* 1"
-- of one mind,got. *ai-n-a-mun-d-s?
-- call (V.) to mind,got. ga-mun-an 21
-- call (V.) to the mind of,got. maud-jan* 1
-- dismiss from the mind,got. *uf-ar-maud-jan
-- have one's mind on,got. hug-jan* 14
-- keep in mind,got. ga-mun-an 21
-- recall to the mind of,got. ga-maud-jan* 4
-- readiness of mind,got. mun-s 7
-- be of sound mind,got. ful-l-a-fraþ-jan* 1
-- bear in mind,got. and-þag-k-jan* (sik) 3
-- having an objective in mind,got. *mun-d-r-s?
-- present to one's mind,got. and-þag-k-jan* (sik) 3
-- subject to the inquiring mind,got. and-hru-sk-an* 1
-- weigh in the mind,got. mi-t-æn* 11
-- make up one's mind beforehand,got. faúr-a-ga-hug-jan* 1
-- take in mind,"got. mun-an* (2) 6, *mun-n-æn?"
mind (V.),got. ga-maud-jan* 4
minded -- be minded to,got. hug-jan* 14
mindedness,"got. fraþ-i 14, mun-s 7"
mindless,got. un-fraþ-jan-d-s* 1
mind-set,got. ga-hug-d-s* 12
mine (Pron.),got. mein-s 324=322
mingle,got. bla-nd-an (sik) 3
minister (M.),got. andb-ah-t-s 39=38
minister (V.),got. andb-ah-t-jan 23=22
ministration,got. andb-ah-t-i 25=24
ministry,got. andb-ah-t-i 25=24
miracle,"got. faúr-a-tan-i* 3, mah-t-s (1) 72, tai-k-n-s 21"
miraculous -- miraculous omen,got. faúr-a-tan-i* 3
mire (N.),"got. fan-i* 5, *saul-jæ"
mirror,got. sku-gg-wa* 1
-- look through a mirror,got. þaír-h-saí¸-an* 1
mis...,got. mis-s-amiscarriage
miscellaneous,got. mis-s-a-leik-s 7
misdeed,got. mis-s-a-dÐ-þ-s* 15
miserable,"got. arm-s* (1) 1, wai-n-ah-s 1"
misguide (V.),got. af-aírz-jan 6
mislead,"got. aírz-jan* 4, ga-¸at-jan* 1, us-lut-æn* 9"
misleading (N.),got. aírz-ei* 2
misled,got. aírz-ei-s* 4
missdeed -- do a missdeed,got. mis-s-a-tau-jan* 1
misshapen,got. ga-mai-þ-s* 3
missing,got. wa-n-s* 4
mission,got. apaú-staúl-ei* 2
-- send on a mission,got. in-sand-jan 87
mistreat,got. an-a-mah-t-jan* 8
mix (V.),got. bla-nd-an (sik) 3
mixing -- mixing of poison,got. lu-b-j-a-leis-ei 1
mock (V.),"got. bi-laik-an* 6, bi-mamp-jan* 1, *skaír-n-jan?"
mode,got. hai-d-u-s* 4
-- mode of life,got. us-mÐ-t* 6
-- mode of perception,"got. ga-hug-d-s* 12, *hug-d-s?"
moderate (Adj.),got. sðt-i-s 8
moderation,got. an-a-wi-l-j-ei 3
modesty,got. ga-riud-ei* 2=1
modify,got. mai-d-jan* 1
moist,got. *qram-m-s?
moisten,"got. ga-nat-jan* 1, nat-jan 1"
moisture,got. qram-m-iþ-a* 1?
mold,got. dig-an* 2
mole (1),got. *mðl-u-s
mole (2),got. mail* 1
molest,got. an-a-mah-t-jan* 8
moment -- in the same moment,"got. sun-s 45, sun-s-aiw 20"
-- in the same moment when,got. sun-s-ei 6
momentary,got. and-waír-þ-æ 1
monetary -- monetary equivalent,got. waír-þ* 4
-- establish the monetary value of,got. waír-þ-æn* 1
monetary unit -- the basic monetary unit of ancient Greece,got. drak-m-a* 3
-- establish peace among,got. ga-fri-þ-æn 5
-- establish peace between,got. ga-fri-þ-æn 5
money,"got. faíh-u* 7, mammæn-a* 2"
-- desirous of money,got. faíh-u-gaírn-s* 1
-- gathering of money,got. faíh-u-þrai-h-n* 4
-- gain of money,got. faíh-u-ga-waúrk-i 1
-- greedy for money,got. faíh-u-frik-s 6
-- ower of money,got. faíh-u-skul-a* 1
-- piece of money,"got. da-i-l-a* (1) 4, skat-t-s 14"
money-bag,got. pugg-s* 1
money-box,got. ark-a 3
money-changer,got. skat-t-j-a* 2
money-covetous,got. faíh-u-frik-s 6
money-covetousness,got. faíh-u-frik-ei 3
money-craving (Adj.),got. faíh-u-gaírn-s* 1
money-craving (N.),got. faíh-u-gaírn-ei* 1
money-greed,got. faíh-u-gei-r-æ 3
money-greedy,got. *faíh-u-gei-r-s?
moneyless,got. un-lÐ-þ-s* 18
money-man,got. skat-t-j-a* 2
money-offering,got. ga-baúr (1) 4
money-payment,got. gild* 1
monster,got. un-hul-þ-a 12
month,got. mÐn-æþ-s 7
monument,got. aur-ah-i* 3
...mooded,got. *mæ-þ-s (2)
»...moody«,got. *-þðh-t-s?
moon,got. mÐn-a 2
moot -- moot question,got. sæk-ein-s 2
moral -- moral consciousness,got. mi-þ-wi-s-s-ei 11
-- moral excellence,got. gæd-ei* 1
morally -- morally conscious,got. *mi-þ-wi-s-s?
more,"got. hal-d-is 1, ma-i-s 54=53, maiz-æ 3"
-- more likely,got. hal-d-is 1
-- more surely,got. hal-d-is 1
-- once more,got. af-t-r-a 102=101
moreover,"got. auk 286=285, þan 595=593"
moribund,got. *swul-t-a-waír-þ-s?
-- moribund person,got. swul-t-a-waír-þ-j-a 1
morning (N.),"got. maúr-g-in-s 6, *ausmorose"
morrow (N.),got. af-ar-dag-s* 1
mortal,got. riur-ei-s* 6
mortality,got. *diw-an-ei?
mortify,"got. dau-þ-jan* 2=1, wli-z-jan* 1"
most -- at the most,got. ma-i-s-t 1
moth,got. mal-æ 2
mother (F.),got. aiþ-ei 44
mother-in-law,got. swaíhr-æ 4
motion -- set in motion,got. ga-wag-jan 4
-- wave motion,got. wÐg-s 4
motivated,got. *mun-d-r-s?
motive -- from the motive that,got. þÐ-ei 3
mould (V.),got. ga-dig-an* 2=1
mouldable -- mouldable batch,got. daig-s 5
-- mouldable mass,got. daig-s 5
moulded -- moulded figure,got. ga-dig-is 1
-- moulded image,got. ga-dig-is 1
-- that which is moulded,got. ga-dig-is 1
mouldy,got. *mu-dw-ein-s?
-- go mouldy,got. *mu-g-an
mountain,"got. *baír-g-s?, faír-gun-i 22, rin-tsch 1"
mountain range,got. faír-gun-i 22
mountainous,got. *baír-g-ah-s?
-- mountainous area,got. baír-g-ah-ei* 2
mourn (V.),"got. flæ-k-an* 1, qai-n-æn 4"
-- mourn over,got. qai-n-æn 4
-- mourn with lamentation,got. wai-faír¸-jan* 1
mourning (N.),got. gau-n-æþu-s* 1
-- wail in mourning,"got. gau-n-æn 3, wai-faír¸-jan* 1"
mouse,got. *mðs
mouth (N.),"got. *mð-l-õ?, munþ-s 17=16"
-- bind up the mouth of,got. faúr-mð-l-jan* 1
movable,got. *ga-wag-iþ-s?
-- movable goods,got. faíh-u* 7
move (V.),"got. ga-wag-jan 4, ga-wig-an* 1, in-wag-jan* 2, *wig-an (2)"
-- move about through,got. bi-tiu-h-an 3
-- move in front of by rolling,got. faúr-wal-w-jan* 1
-- move to and fro,got. wag-jan 3
-- move to by rolling,got. at-wal-w-jan* 1
-- make move,got. ga-wag-jan 4
moved,got. *ga-wag-iþ-s?
-- be moved with compassion,got. in-fei-n-an* 6
much,"got. fil-u 79, man-ag-s* 183=182"
-- as much,got. sam-a-lauþ-s* 1
-- by much,got. fil-aus 5
-- by that much the,got. þÐ 1
-- how much,"got. ¸ai-wa 68, þan-ei 3"
-- so much,got. swa-lauþ-s* 5
muck (N.),got. *saul-jæ
mud,"got. fan-i* 5, *saul-jæ"
muddy,got. *dræ-bji-s?
mulberry tree,got. baír-a-bagm-s* 1
multicoloured -- very multicoloured,got. fil-u-faíh-s* 1
-- much multicoloured,got. fil-u-faíh-s* 1
multifold,got. man-ag-fal-þ-s* 2
multiple,got. man-ag-fal-þ-s* 2
multiply,got. man-ag-jan* 2
multitude,"got. fil-u-sn-a 6, hiu-h-m-a 6, man-ag-ei 141"
murder (N.),got. maúr-þ-r* 4
murder (V.),got. maúr-þ-r-jan* 6
murderer,"got. man-a-maúr-þ-r-j-a 1, *maúr-þ-r-j-a?"
murderously -- slay murderously,got. maúr-þ-r-jan* 6
murmur (V.),got. bi-ræ-d-jan* 7
murmuring (N.),got. bi-ræ-d-ein-s 4=3
music -- vocal music,got. saggweis
-- vocal sound,got. stibn-a 33
must (V.),"got. skul-an* 75=74, þaúrb-an* 20=19"
mustard,got. sinap-s* 2
mustiness,got. *mu-dw
mutate,got. mai-d-jan* 1
mute,got. du-m-b-s 2
-- be mute,"got. af-dæ-b-n-an* 1, þah-an* 6, *dæ-b-n-an?"
-- become mute,"got. af-dæ-b-n-an* 1, ga-þah-an* 2, *dæ-b-n-an?"
muteness,got. þah-ain-s* 1
mutilated,"got. ga-mai-þ-s* 3, ham-f-s* 1, *mai-þ-s?"
mutter (V.),got. bi-ræ-d-jan* 7
mutually,got. mis-s-æ 64=63
muzzle (N.),got. *mð-l-õ?
muzzle (V.),"got. faúr-mð-l-jan* 1, faúr-waip-jan* 1"
my,got. mein-s 324=322
myrrh,got. smwrn* 1
mystery,got. rð-n-a 18
myth,got. spil-l* 4
n,got. n 2
nail (N.),"got. hnu-þ-æ 2 (=1), *nag-l-s"
nail (V.),"got. ga-nag-l-jan* 1, *nag-l-jan?"
nailing (N.) -- affix by nailing,"got. ga-nag-l-jan* 1, *nag-l-jan?"
naked,got. naq-aþ-s 8
nakedness,got. naq-ad-ei 2
name (N.),got. nam-æ 78
-- designate by name,got. ga-nam-n-jan* 1
name (V.),"got. ga-nam-n-jan* 1, hai-t-an 64, nam-n-jan* 12=11"
named -- be named,got. hai-t-an 64
namely,got. raíh-t-is 46
napkin,"got. aúrõl-i* 1, fan-a* 3"
nard,got. nardu-s* 1
narrow (Adj.),got. agg-wu-s* 2
narrow (N.) -- narrow of the neck,got. hals-agg-a* 1
narrowness,"got. *agg-a?, *agg-w-ei?"
nastiness,got. *bau-s-ei?
nation,got. þiu-d-a 54
native -- native country,got. ga-baúr-þ-s* 12
nature -- childish nature,got. bar-n-isk-ei* 1
-- contrary to nature,got. al-ja-kun-s 3
-- human nature,got. man-n-isk-ædu-s* 1
-- inherent nature,got. wi-s-t-s* 9
naught -- bring to naught,"got. blau-þ-jan* 1, ga-blau-þ-jan* 1"
-- for naught,got. arw-j-æ 3
nay (Adv.),got. ne 12
near (Adv.),"got. bi 376=373, fra-m 185=183, nÐ¸ 1, nÐ¸-a 23"
-- who is near,got. nÐ¸-und-j-a 10
nearby,got. nÐ¸-a 23
nearer,got. nÐ¸-is 1
necessary,"got. nau-d-i-þaúrf-t-s* (1) 1, þarb-s* 5, þaúrf-t-s* (1) 3"
necessitation,got. noicz
necessities,got. anda-wiz-n-s* 3
necessity,"got. nau-d-i-þaúrf-t-s (2) 1, þarb-a* (1) 5, þaúrf-t-s (2) 6"
neck (N.),"got. hal-s* 1, hals-agg-a* 1"
-- narrow of the neck,got. hals-agg-a* 1
need (N.),"got. nau-þ-s 11=10, þarb-a* (1) 5, þaúrf-t-s (2) 6"
-- totally in need,got. al-a-þarb-a 1
-- have need,got. þaúrb-an* 20=19
-- having need,got. þarb-s* 5
need (V.),got. þaúrb-an* 20=19
-- need to,got. þaúrb-an* 20=19
needed,got. þaúrf-t-s* (1) 3
needful,got. þarb-s* 5
neediness,got. þarb-a* (1) 5
needle (N.),got. nÐ-þl-a* 2
-- eye of a needle,got. þaír-k-æ* 2
needless,got. un-brðk-s* 2
needs,got. anda-wiz-n-s* 3
needy,"got. þarb-s* 5, us-haist-a 1"
neglect (V.),got. uf-ar-mun-n-æn* 3
negligent,got. un-kar-ja 2
negotiate,got. air-in-æn* 2
neighbour (M.),"got. ga-ra-z-n-a* 3, nÐ¸-und-j-a 10"
-- border neighbour,got. ga-mark-æ*
-- female neighbour,got. ga-ra-z-n-æ* 1
neighbour (V.),got. bi-sit-an* 5
neighbouring (Adv.),got. bi-sun-j-a-nÐ 7
neither,got. ni 1302=1300
neophyte,got. niu-ja-sat-iþ-s* 1
nest (N.),got. sit-l-s* 4
nestle (V.),got. *s-miug-an
net (N.),"got. nat-i* 7, snær-j-æ* 1"
nethermost,got. undar-ist-s* 1
nevertheless,got. ak-ei 98=97
new,got. niu-ji-s 26=25
newness,got. niu-j-iþ-a* 1
news,"got. hau-s-ein-s* 5, mÐ-r-ein-s 3, mÐ-r-iþ-a 4"
-- spread good news of,got. waíl-a-mÐ-r-jan 13
-- preach good news,got. þiu-þ-s-pil-l-æn* 1
-- promulgate glad news,got. waíl-a-spil-l-æn* 1
-- spread the news,got. us-qiþ-an 1
news-spreading -- good news-spreading,got. waíl-a-mÐ-r-ein-s* 1
next -- next adjacent,got. ift-uma* 4
-- next day,got. af-ar-dag-s* 1
-- the next day,got. gis-tra-dag-is 1
nice,got. *frei-þ-s?
nigh,"got. nÐ¸ 1, nÐ¸-a 23"
night,got. naht-s 25
nine,got. niun 5
-- nine compensations,got. niun-geld-o 5
ninety,got. niun-tÐ-hund 3
ninth,got. niun-d-a* 4
no,"got. ne 12, ni 1302=1300"
Noah -- the ark of Noah,got. ark-a 3
nobility,got. *aþal?
noble (Adj.),"got. *aþal-s?, *aþan-s?, reik-ei-s* (1) 3"
nodule,got. *bugg-ja?
noise,"got. áuhj-ædu-s* 2, *s-wæ-g-s?"
-- make a noise,got. auhj-æn* 2
noisy -- noisy tumult,got. áuhj-ædu-s* 2
-- be tumultuously noisy,got. auhj-æn* 2
non...,got. unnon-bearing
none (in neg. sentences),got. ai-n-s-hun 75
nonetheless -- but nonetheless,got. aþ-þan 240
non-good,got. un-þiu-þ* 7
non-handmade,got. un-hand-u-waúrh-t-s* 2
non-nation,got. un-þiu-d-a* 1
non-people,got. un-þiu-d-a* 1
non-possessing,got. un-hab-an-d-s* 3
non-safeguarding,got. un-frei-d-ein-s* 2=1
nonsense,got. un-fræd-ei* 4
nonsensical,got. un-fræþ-s* 5
nonsensical -- nonsensical person,got. un-wi-t-a 6
non-sparingness,got. un-frei-d-ein-s* 2=1
non-unveiled,got. un-and-hul-iþ-s* 1
non-working -- non-working woman,got. un-waúr-st-w-æ* 2
noon meal,got. undaúrn-i-mat-s* 1
noose,got. wru-g-g-æ* 1
nor,"got. ni 1302=1300, ni-h 147"
northern,got. *naúr-þ-s?
-- turn up the nose at,got. bi-mamp-jan* 1
not,"got. nei 2, ni 1302=1300"
-- not even,got. ni-h 147
-- not even then,got. ni-þ-þan got.
-- also not,got. ni-h 147
-- if not,got. n-i-ba-i 58
-- that not,got. wai-nei 3
-- that one there,got. sa 2800
-- is it not,got. ni-u 69
-- is it not so that,got. i-ba-i 69
notability,got. dæ-m-s* 2
note (V.),"got. and-saí¸-an* 2, at-saí¸-an* 10=9, ga-tarh-jan 6"
notice (N.) -- take notice of,"got. bi-saí¸-an* 5, gau-m-jan 16"
notice (V.),got. gau-m-jan 16
nourish,"got. fæ-d-jan* 5, *us-fæ-d-jan?"
nourishment,"got. fæ-d-ein-s* 2, us-fæ-d-ein-s* 1, waíl-a-wizn-s* 1"
November,got. naubaimbair 1
novice,got. niu-ja-sat-iþ-s* 1
now,"got. nð 231=229, þan-nu 22"
-- now then,"got. nð-nð 6, þan 595=593"
-- by now,"got. ju 37, ju-þan 15"
-- just now,"got. ju 37, nð 231=229"
-- right now,got. nð 231=229
-- of here and now,got. hi-* 20
-- up to now,got. ju 37
null,got. wa-n-s* 4
nullify,got. faúr-qiþ-an 4
numb (Adj.),got. dau-f-s* 1
-- be numb,"got. *dau-b-jan?, ga-dau-b-jan* 2"
-- become numb,"got. af-dau-b-n-an* 1, *dau-b-n-an?"
numbed,got. dau-f-s* 1
number (N.),got. ra-þ-j-æ 5
-- two in number,got. tweihnai* 2
-- great number of,got. mik-il-s 54
-- in the number of,got. bi 376=373
number (V.),"got. *ga-ra-þ-an, ga-ra-þ-jan* 1"
numbering -- numbering two,got. tweihnai* 2
numbness,"got. dau-b-ei 1, dau-b-iþ-a* 2"
nurture,got. fæ-d-jan* 5
nutriment,"got. fæ-d-ein-s* 2, us-fæ-d-ein-s* 1"
-- good nutriment,got. waíl-a-wizn-s* 1
nutrition,got. fæ-d-ein-s* 2
o,got. æ 5
oak,got. *aik-s?
oath,got. ai-þ-s* 4
-- take an oath,got. swar-an 7
-- bound by oath,got. uf-ai-þ-ei-s* 1
-- put under oath,got. bi-swar-an* 2
-- under oath,got. uf-ai-þ-ei-s* 1
oath-breaker,got. uf-ar-swar-a* 1
obedience,"got. ga-kun-d-s 1, uf-hau-s-ein-s 6"
obey,"got. and-hau-s-jan* 9, uf-hau-s-jan 29=28"
objective (N.),"got. mun-d-r-ei* 1, got. waíh-t-s 80=79"
oblation,got. tibr* 1
-- make an oblation of,got. ga-sal-jan* 3
-- render oblational tribute,got. sal-jan (2) 6
obligated -- obligated person,got. skul-a 15
obliged -- be obliged,got. skul-an* 75=74
obliterate,got. fra-qis-t-jan 23
oblivion,got. uf-ar-maud-ei* 1
obloquy,got. bi-hai-t* 1
obscene -- obscene language,got. ag-l-ait-i-wáur-d-ei* 2
-- verbally obscene,got. *ag-l-ait-i-wáur-d-s
observance,got. fast-ubn-i* 6
-- give observance to,got. wi-t-an (2) 12
observant -- be observant of,got. wi-t-an (2) 12
observation,got. at-wi-t-ain-s* 1
observe,"got. *at-wi-t-an?, fast-an 45, ga-fast-an 11, gau-m-jan 16, mun-d-æn* 2=1"
"sis, saí¸-an 106, *war-d-æn, wi-t-an (2) 12",
obsession,got. *fri-k-ei?
obstacle,"got. bi-stu-g-q* 5=4, ga-mar-z-ein-s* 3, mar-z-ein-s 1"
obstruction,"got. ga-mar-z-ein-s* 3, mar-z-ein-s 1"
obtain,"got. ga-niut-an* 2, ga-ri-n-n-an* 7"
-- obtain an advantage,got. ga-bat-n-an* 1
-- obtain disposal of,got. niut-an 2
-- obtain knowledge of,got. fi-n-þ-an* 5
obvious,got. swi-kun-þ-s 17
-- in an obvious manner,got. swi-kun-þ-a-ba 5
obviously,got. and-aug-i-ba 4
obviousness -- known by its obviousness,got. swi-kun-þ-s 17
occasion,"got. sinþ-s* 17, þeih-s* 2"
-- on an untimely occasion,got. un-ðh-t-eig-æ 1
occident,got. saggq-s* 1
occurrence,got. sinþ-s* 17
ocean,"got. lagu-s* 1, *mar?"
-- ocean depths,got. diup-iþ-a 4
octo-diurnal,got. aht-au-dæg-s 1
odour (N.),got. dau-n-s 7
of,"got. af 135, us 340"
off,got. und 67
-- off from,got. bi 376=373
-- off of,got. bi 376=373
offal,got. smarn-a* 1
offence,"got. faír-in-a* (1) 8, fra-waúrh-t-s (2) 79"
-- not giving offence,got. un-uf-brik-an-d-s* 1
-- take offence,got. af-mar-z-jan* 2
offend,got. mar-z-jan* 5
offense (N.),"got. ga-mar-z-ein-s* 3, got. mar-z-ein-s 1"
-- cause (V.) offense,got. ga-mar-z-jan* 8
offer (V.),"got. at-baír-an* 12, raht-æn* 1, us-gib-an 22"
-- offer a prayer of thanksgiving,got. aw-i-liu-d-æn 23
-- offer as tribute to,got. and-sal-jan 1
-- offer up,got. ga-sal-jan* 3
offering -- incense offering,got. þwmiam-a* 2
-- make a tributary offering,got. sal-jan (2) 6
-- sacrificial offering,got. sau-þ-s* 4
officate -- officate as priest,got. gu-d-ji-n-æn* 1
office,"got. andb-ah-t-i 25=24, *rag-in-i?"
-- office of a bishop,got. aípi-skaúp-ei* 1
-- office of a tetrarch,got. fidur-ragin-i* 1
-- office of an apostle,got. apaú-staúl-ei* 2
-- put in office,got. ga-sat-jan 25
official (M.),got. faúr-a-ma-þl-ei-s 10
-- sacerdotal official,got. weih-a 1
officially -- officially determined,got. ga-rai-þ-s* 2
often,got. uf-t-a 15
oh,got. æ 5
oil -- aromatic oils or salves,got. aræmat-a 1
ointment,"got. balsan 8, *salb-a?, salb-æn-s* 1"
-- perfumed ointment,got. balsan 8
old,"got. *al-d-a, al-þ-ei-s 6, faír-n-ei-s* 15, sin-eig-s* 16, *sin-s"
-- old age,got. al-d-æm-æ* 1
-- oldest servant,got. *sin-i-s-kal-k-s?
-- grow old,got. *al-þ-an?
-- grow very old,got. us-al-þ-an* 1
olive -- pertaining to olives,got. alÐw-j-a* 2
-- of olives,got. alÐw-j-a* 2
olive oil,got. alÐw* 3
olive tree,got. alÐw-a-bagm-s 6
omen -- miraculous omen,got. faúr-a-tan-i* 3
on,"got. an-a (1) 273, and 35, bi 376=373, in 1792"
-- on by,got. and 35
-- on top,got. uf-ar-æ 7
once,"got. ainamma sinþa, faúr-a 61, sim-l-Ð 9=8, sum-an 9"
-- once more,got. af-t-r-a 102=101
-- at once,"got. and-waír-þ-æ 1, sun-s 45, sun-s-aiw 20"
one,"got. ai-n-s 197, ai-n-s-hun 75, ¸a-s-hun 9, man-n-a-hun 13, sum-s 140"
-- one lowest down,got. undar-lei-j-a* 1
-- one who whitens wool,got. wul-l-õrei-s 1
-- each one,"got. ai-n-¸ar-ji-z-uh 13, ¸ar-ji-z-uh 35"
-- each one of two,got. ai-n-¸a-þar-uh* 1
one-eyed,got. haih-s* 1
one-mindedness,got. ai-n-a-mun-d-iþ-a* 3
one's,got. sein-s* 300
-- one's own,got. swÐ-s (1) 28
onflow of water,got. flæ-du-s 1
only (Adj.),"got. ai-n-ah-a 3, ai-n-s 197, þat-ai-n-ei 29"
-- this only,got. þat-ai-n 6
-- if only,"got. þan-dÐ 19, wai-nei 3"
-- just only,got. ¸Ð-h 2
only-begotten -- only-begotten one,got. ai-n-a-baúr* 1
only-born -- only-born one,got. ai-n-a-baúr* 1
onrush -- onrush of water,got. flæ-du-s 1
onself -- willing of oneself,got. si-l-b-a-wil-ji-s* 2=1
onto,"got. an-a (1) 273, bi 376=373, in 1792"
onward,got. fra-m-waírþ-is 1
open (Adj.) -- open field,got. haiþ-i* 5
-- open hand,got. læf-a* 4
-- open land,got. ak-r-s 6
-- open water,got. lagu-s* 1
-- open wound,got. ban-j-a* 3
open (V.),got. us-lðk-an 17
-- open up,got. aíffaþa 1
-- open wide,got. ur-rð-m-n-an* 2
opened -- be opened,got. us-lðk-n-an* 9
-- become opened,got. us-lðk-n-an* 9
opening (N.),"got. *luk, us-luk* 1"
openly,"got. and-aug-i-ba 4, and-aug-j-æ 3, baír-h-t-a-ba 5, bal-þ-a-ba 2, swi-kun-þa-ba 5"
-- known openly,got. swi-kun-þ-s 17
operate,got. waúrk-jan 56=54
-- operate to perfection,got. us-waúrk-jan* 2
operation,got. waúr-st-w 83=82
operational,got. waúr-st-w-eig-s* 5
operative,got. waúr-st-w-eig-s* 5
opine (V.),got. þugk-jan* 23
opinion,got. mi-t-æn-s 10
-- be of the opinion,got. fraþ-jan 48=47
-- be of an opinion,got. hug-jan* 14
-- difference of opinion,got. mis-s-a-qui-s-s 3
-- division of opinion,got. mis-s-a-qui-s-s 3
-- give an opinion,got. qiþ-an 1270
opponent (M.),got. and-a-sta-þ-ji-s* 3
-- legal opponent,got. and-a-sta-u-a 2
opportune,got. ð-h-t-iug-s* 1
opportunistic chance,got. lÐw* 4
-- hand over in an opportunistic deal,got. lÐw-jan* 3
-- hand s.o. over in an opportunistic deal,got. ga-lÐw-jan 16
opportunism -- betray in an act of opportunism,got. lÐw-jan* 3
-- surrender s.o. by means of opportunism,got. ga-lÐw-jan 16
opportunity -- exploitable opportunity,got. lÐw* 4
-- take the opportunity of giving s.o. over,got. ga-lÐw-jan 16
oppose,"got. and-ri-n-n-an* 2, and-sta-n-d-an 17"
-- oppose with battle,got. and-weih-an* 2
opposed,"got. and-a-nei-þ-a* 3, *and-a-nei-þ-s?"
opponsing -- opposing litigant,got. and-a-sta-u-a 2
opposite (Adj.),got. and-waír-þ-is 1
opposite,"got. wi-þra 46, wi-þra-waír-þ-s* 5=4"
-- set opposite,got. wi-þra-waír-þ-s* 5=4
opposition -- fight in opposition to,got. and-weih-an* 2
oppress,"got. an-a-pragg-an* 1, ga-agg-w-jan* 1, ga-þrei-h-an* 1, kaúr-jan* 11"
-- oppress intensely with persecution,got. fra-wri-k-an* 1
oppressed,got. ga-mai-þ-s* 3
oppressive,got. kaúr-u-s* 1
opulence,got. gab-ei 14
opulent,got. gab-ig-s 19
-- be opulent,got. gab-ig-n-an* 2
-- become opulent,got. gab-ig-n-an* 2
or,"got. aí-þ-þau 156=155, *þau-h"
ordain (V.),"got. ga-rai-d-jan* 3, rai-d-jan* (1) 2"
order (N.),"got. an-a-bð-s-n-s 45, ga-raíh-t-ei 40, hai-t-i* 2, tÐw-a* 1"
-- give orders to,got. faúr-biud-an* 7
-- set in order,got. at-ga-raíh-t-jan* 1
order (V.),"got. an-a-biud-an* 40, ga-rai-d-jan* 3, ga-tÐw-jan* 1, *grÐf-an?, hai-tan 64, *tÐw-jan"
ordered,"got. *ga-ta-s-s?, ga-tÐw-iþ-s, *rai-þ-s, *-tÐw-ei-s"
-- authoritatively ordered,got. ga-rai-þ-s* 2
orderly (M.),got. *hag-j-a?
orderly,got. ga-hõh-j-æ 1
ordinance,"got. an-a-bð-s-n-s 45, ga-rai-d-ein-s 8=7, *rai-d-ein-s?"
ordinary,got. ga-mai-n-s 6
organ -- internal abdominal organs,got. wamb-a 11
origin,got. us-sat-ein-s* 1
-- ethnic origin,got. ga-baúr-þ-s* 12
-- of earthly origin,got. aír-þ-a-kun-d-s* 1
-- of foreign origin,got. al-ja-kun-s 3
-- of heavenly origin,got. uf-ar-himin-a-kund-s 2
originate,got. waír-þ-an 472=470
ornament (N.),"got. *gar-w-i, *gar-w-s"
orphan,got. wid-uw-aírn-a* 1
Ostrogoths,"got. Aus-tro-go-t-i, *Grau-tung-æs, Gre-o-t-ing-i* lat.-got., *Gri-u-tugg-æs?, *Grð-t-ung-i, Ostro-go-þ-i"
other,"got. *al-i- got., *al-ja-leik-s?, al-ji-s* 5, an-þar 157"
-- other than,got. al-ja 17
-- this and no other,got. sa-h 74
-- each other,got. mis-s-æ 64=63
-- the other,got. an-þar 157
otherness,got. an-þar-leik-ei* 2
otherwise,"got. aí-þ-þau 156=155, al-ja-leik-æ 4, an-þar-leik-æ 2=1"
ounce (N.) (1),got. ugk-j-a* 1
our,got. un-s-ar 195=190
oust,got. us-lÐ-t-an 1
out,"got. ur-, ðt 25, ðt-a 14"
-- out of,"got. us 340, us 340, ðt-a-na 5"
outcast (Adj.)?,got. ur-rugk-s* 1
outcry,got. hræ-p-s 1
outdo,got. faúr-a-rah-n-jan* 1
outer -- outer garment,got. snag-a* 5
outermost,got. hi-n-d-um-ist-s* 1
outlaw (M.),"got. un-si-b-ji-s* 4=3, *war-g-s?"
outlaw (V.),got. ga-war-g-jan* 2
outlawed,got. un-si-b-ji-s* 4=3
out-of-door -- out-of-doors wall,got. faþ-a* 4
outset,got. fru-m-ist-i* 3
outside (Präp.),"got. in-u-h 49, ðt 25, ðt-a 14, ðt-a-na 5"
-- outside of,got. ðt-a-na 5
-- outside of culpability,got. us-faír-in-a 3
-- outside of sanctity,got. us-weih-s* 3
