English,Gothic
admission-fee -- admission-fee collector,got. mæt-õ-rei-s 19
admitted -- be admitted,"got. ga-mæt-an* 3, *mæt-an"
admittedly,got. swÐ-þauh 36=34
admonish,"got. ga-þlaih-an 12=11, talz-jan* 7"
adopt,got. and-nim-an 102
adoption -- adoption as children,got. frast-i-si-b-j-a 1
-- familial adoption,got. frast-i-si-b-j-a 1
adore,got. *in-wei-t-jan?
adorn (V.),"got. fÐt-jan* 1, *ga-fÐt-jan"
adornment,got. ga-fÐt-ein-s* 1
adult (Adj.),got. us-wahs-an-s 2
-- adult male,got. waí-r 29
adulterated,got. un-aírkn-s* 3
adulterer,got. hæ-r-s 7
adultery,"got. hæ-r-i-n-a-s-su-s 7, kalk-i-n-a-s-su-s 4"
-- commit adultery,"got. ga-hær-in-æn* 1, hæ-r-in-æn 13"
advance (N.) -- purpose in advance,got. faúr-a-ga-rÐ-d-an* 3=2
-- come in advance,got. faúr-a-qi-m-an* 1
-- enjoin in advance,got. *faúr-a-ga-rai-d-jan 1
advance (V.),"got. ga-þei-h-an* 2, und-rÐ-d-an 1"
advanced -- advanced in age,got. fra-m-al-dr-s* 3
advancement,got. fra-m-gõ-h-t-s* 1
advantage (N.),"got. bæt-a* 3, *bat-a"
-- obtain an advantage,got. ga-bat-n-an* 1
-- take advantage of,"got. bi-faih-æn* 3, ga-faih-æn* 1"
advent,got. qu-m-s 14
adversary (M.),got. and-a-sta-þ-ji-s* 3
-- adversary in a lawsuit,got. and-a-sta-u-a 2
advice,got. *rÐ-þ-s (1)
-- aiming advice,got. til-a-rÐþ-s* 1
advise (V.),"got. ga-rag-in-æn* 1, *rÐ-d-an"
advisor,got. rag-in-ei-s 4
advocate (M.),got. par-a-klÐ-t-u-s 4
advocate (V.),got. *rÐ-d-an
advocatable -- in an advocatable manner,got. ga-rÐ-d-a-ba 1
afar,got. faír-ra 20
-- from afar,got. faír-ra-þræ 9
affection -- show (V.) affection for,got. fri-j-æn 92
affectionately -- affectionately tender,got. fri-aþ-w-a-mil-d-s* 1
affinity -- bring into affinity,got. niþ-an* 1
affirm,got. ga-tul-g-jan 10
affix -- affix by nailing,"got. ga-nag-l-jan* 1, *nag-l-jan?"
-- affix ropes to,got. in-sai-l-jan* 1
-- afflict with thirst,got. af-þaúrs-jan* 2
affliction,"got. agg-w-iþ-a 5, ag-l-æ 27, slah-s* 7"
afford s.o.,got. and-stal-d-an* 4
afford s.th.,got. and-stal-d-an* 4
afire -- be afire,"got. bri-n-n-an* 1, tund-n-an* 1"
-- set afire,got. in-bran-n-jan* 1
aflame -- be aflame,got. tund-n-an* 1
aforetime,got. faúrþ-is 23
afraid,got. faúrh-t-s* 2
-- be afraid,"got. faúrh-t-jan* 6, æg-an* 43"
-- be afraid of,got. *ag-an?
-- become afraid,got. faúrh-t-jan* 6
-- make afraid,got. æg-jan 1
