Esperanto,Occidental
"jarkvarono, trimestro",quartale
"kvartalo, loĝejo",quartere
kvarco,quartz
kvazaŭ,quasi
kvasto,quast
ke,que
kiu,quel
"kelke da, kelkaj",quelc
kiu ajn,quelcunc
kiun; al kiu,quem
kverko,querc
"kverel/o,-i","querell/e,-ar"
"demand/o,-i","question,-ar"
kiu,qui
kiu ajn,quicunc
kviki,quicar
kvieta,quiet
kvin,quin
merceraĵo,quincallia
kirli,quirlar
"kvit/a,-iĝi","quitt,-ar"
kio,quo
kio ajn,quocunc
ĉiutaga,quotidian
"rabi/o,-a","rabi/e,-osi"
"rabot/ilo,-i","rabot,-ar"
"rakont/o,-i","racont/a,-ar"
radiko,radica
"radi/o,-ado","radi/e,-ation"
radioaparato,radio-aparate
rafaneto,radise
rafano,rafane
ekkapti,raffar
ĉevrono,raftre
raŭki,ralar
ram/il/o,ramme
"ran/o,-a","ran,-in"
ranca,rancid
rango,rang
"vic/o,-igi","range,-ar"
rapo,rap
"rapid/a,-eco","rapid,-itá"
"raport/o,-i","raport/e,-ar"
"forrab/i,-o","rapt/er,-ion"
"rar/a,-aĵo","rar,-itá"
"raz/i,-ilo","ras/ar,-uore"
1.motivo 2.racio,rason
"rest/i,-ilo","restr/ar,-e"
"raci/o,-a","ration,-al"
rato,ratte
raьka,rauc
ravino,ravine
"rav/i,-a","raviss/er,-ent"
"reakci/i,-o","react/er,-ion"
"real/a,-eco","real,-itá"
"recenz/i,-o","recens/er,-ion"
antaьnelonga,recent
"akcept/i,-o","recept/er,-ion"
"recept/o,-i","receptu,-ar"
remalsaniĝo,recidive
"reciprok/a,-i","reciproc,-ar"
"recit/i,-aĵo","recit/ar,-ation"
"ricev/i,-ebla","reciv/er,-ibil"
"reklamaci/i,-o","reclam/ar,-ation"
vigliĝi,recoleer /se/
"rikolt/o,-i","recolt/e,-ar"
"rekomend/i,-o","recomend/ar,-ation"
"rekompenc/i ,-o","recompens/ar ,-ation"
"repacig/i,-o","reconcili/ar,-ation"
rekoni,reconosser
rekta,rect
rekuperi,recuperar
elaĉeti,redempter
"redukt/i,-o","reduct/er,-ion"
"reflekt/i,-o","reflect/er,-ion"
reflekso,reflex
malfluso,reflute
"refrakt/i,-o","refract/er,-ion"
"refreno, rekantaĵo",refrane
"frid/igi,-ujo","refriger/ar,-ator"
"refreŝ/igi,-igo","refrisc/ar,-ament"
"rifuĝ/i,-ejo","refug/ir,-ia"
"rifuz/o,-i","refus/a,-ar"
refuti,refutar
"regal/o,-i","regal/e,-ar"
"rigard/o,-i","regard/e,-ar"
regeneri,regenerar
reĝimo,regime
"reĝisor/i,-o","regiss/er,-or"
"reg/i ,-ado","regn/ar,-entie"
"regres/o,-i","regress,-er"
"bedaŭr/o,-i","regret/e,-ar"
"regul/o,-igi","regul,-ar"
forĵeti,rejecter
relo,rel
"rilat/i,-o","relet/er,-ion"
relajso,relé
religio,religion
"rem/ilo,-i","rem,-ar"
remaĉi,remachar
resti,remaner
"rimark/i,-inda","remarc/ar,-ebil"
"rimed/o,-i","remed/ie,-iar"
"rememor/i,-o","rememor/ar,-ation"
remizo,remise
rimorso,remorse
anstataŭi,remplazzar
reno,ren
redoni,rendir
kontraŭstari,reniter
"renovig/i,-o","renov/ar,-ation"
"renonci, rezigni /ion/",renunciar
"renvers/i,-o","renvers/ar,-ament"
riperi,reparar
apartigi,repartir
manĝtempo,repaste
penti,repenter
"ripet/i,-o",repet/ir-ition
"ripoz/i,-o","repos/ar,-e"
reprezenti,representar
subpremi,represser
admoni,reprimandar
riproĉi,reprochar
"ramp/i,-ulo,reptilio","rept/er,-ile"
forpuŝi,repugnar
"malakcepti, rifuzi",repulser
"repuŝi, forpuŝi",repussar
reputacio,reputation
"rezid/i,-ejo","resid/er,-entia"
"rezign/i,-acio","resign/ar,-ation"
rezino,resine
"rezist/i,-anco","resist/er,-entie"
decidi,resoluer
"reson/i,-o","reson/ar,-ation"
"respekt/o,-i","respect/e,-ar"
"spir/i,-ado","respir/ar,-ation"
"respond/i,-o","respon/der,-se"
"respondec/i,-a","respons/ar,-abil"
risorto,ressor
fako,ressort
/helpa/ fonto,ressurce
"rest/o,-i","rest/e,-ar"
"restaьr/i,-o","restaur/ar,-ation"
"restoracio, gastería",restoration
restitui,restituer
restrikti,restricter
"rezult/i,-o '","result/ar,-ate"
"resum/i,-o","resum/ar,-é"
malantaŭigi,retardar
reto,rete
reteni,retener
retino,retine
returni,retornar
"returne, reen",retro
"retuŝ/i,-o","retuch/ar,-e"
"repag/o,-i","revanch/a,-ar"
"rev/i,-/ad/o","rev/ar,-e"
"revelaci/i,-o","revel/ar,-ation"
veksignalo,revellie
"reven/i,-o","reven/ir,-ida"
enspezo,revenú
"revers/o,-i","revers/e,-ar"
"revid/o,-i","revid/e,-er"
revoki,revocar
reĝo,rey
"rikan/i,-o","rican/ar ,-ament"
"ric/a,-eco","rich,-esse"
"rid/i,-o,-inda","ri/der,-sion,-sibil"
ridinda,ridicul=risibil
rifo,riff
rigida,rigid
rimo,rim
remburso,rimborse
"gargari, tralavi",rinsar
rizo,ris
"risk/o,-i","risc,-ar"
ritmo,ritme
rito,ritu
rivalo,rival
bordo,rive
"river/o,-eto","river/e,-ette"
"nit/o,-i","rivet/e,-ar"
"manbatalo, interbatiĝo",rixe
krano,robinete
roboto,robot
"dika, fortega",robust
"rok/o,-plena","rocc/a,-osi"
rodi,roder
rolo,rol
rombo,rombe
ronki,roncar
"rond/a,-o","rond,-e"
ronroni,ronronar
rozario,rosarium
"roz/o,-a","ros/e,-i"
roso,rosé
bufo,rospe
"rufa, ruĝhera",ross
rosti,rostar
"rotaci/i,-o","rot/ar,-ation"
rado,rote
rabarbo,rubarbe
"ruĝ/a,-/ig/i","rub/i,-ijar"
rukti,ructar
rukuli,rucular
kruda,rud
rudimento,rudiment
falto,ruga
kriegi,rugir
falruiniĝi,ruir
"rul/o,-i","rul,-ar"
remaĉi,ruminar=remachar
rompi,rupter
"kampar/o,-ano","rur/e,-ano"
rustika,rustic
vojo,rute
rutino,rutine
sabro,sabre
sako,sac
sakrala,sacri
"ofer-/i,-/aĵ/o","sacrific/ar,-ie"
sakrilegio,sacrilegie
sagaca,sagaci
"saĝ/a,-eco","sagi,-tá"
"sal/o,-i,-ita","sal/e,-ar,-in"
salono,sala
salato,salade
salamandro,salamandre
salajro,salarie
saliko,salice
okulfrapa,salient
"saliv/o,-i","saliv/e,-ar"
salmo,salmon
salpetro,salpetre
kolbaso,salsice
"salt/o,-i","salt/a,-ar"
salubra,salubri
"salut/i,-o","salut/ar,-ation"
"sav/i,-o","salv/ar,-ation"
salvo,salve
sama,sam
"san/a,-o","san,-itá"
sablo,sand
"sang/o,-/ad/i","sangu/e,-ar"
hirudo,sanguisuc
"sankt/a,-i","sant,-ificar"
"ŝu/o,-isto","sapat/e,-ero"
"gust/i, bongusta","sap/er,-orosi"
"sap/o,-umi","sapon,-ar"
"sape/o,-isto","sapp/e,-ero"
ĉerko,sarco
"sark/i,-aĵo","sarcl/ar,-age"
sufiĉe,sat
kontentigi,satisfar
"sat/a,-igi","satur,-ar"
sabato,saturdí
saŭco,sauce
sovaĝa,savagi
scii,saver
ĝui,savurar
skabelo,scabelle
skabio,scabie
ŝranko,scaf
skafaldo,scafalde
l.skalo 2.stupetaro,scale
ŝtuparo,scaliere
skarabo,scarabé
skarlato,scarlat
kruta,scarp/at/
skatolo,scatulle
sceptro,sceptre
"scienc/o,-a,-ulo","scient/ie,-ic,-ist"
"fajrero, /el./ parko",scintille
sklavo,sclave
"akvobaraĵo, flu-baro",scluse
"lernejo, skolo","scol/a,-e"
celo,scope
skorbuto,scorbut
skorio,scorie
skrapi,scrappar
ekrano,scren
"skrib/i,-ado,-o","scr/ir,-ition,-itura"
skrofulo,scroful
"skrupul/o,-a","scrupul,-osi"
"ŝraŭb/o,-i","scruv/e,-ar"
ŝildo,scude
"skulpt/i,-isto","sculpt/er,-or"
"ŝaŭm/o,-i","scum,-ar"
sciuro,scurel
sin,se
sebo,sebe
sekalo,secale
apartigi,secluder
sekundo,seconde
"sekreci/i,-o","secre/er,-tion"
"sekret/a,-o,-ario","secret,-e,-ario"
"sekt/o,-ano","sect/a,-ano"
"/dis/sekc/i,-o","sect/er,-ion"
sekvi,secuer=sequer
"jarcento, centjaro",sécul
laŭ,secun
"dua, sekundara","secund,-ari"
"sekur/a,-igi","secur,-ar"
"sid/i,-ejo","sed/er,-e"
"sel/o,-i","sedl/e,-ar"
delogi,seducter
"seg/ilo,-i","seg/a,-ar"
"vel/o,-veturi","segl/e,-ar"
segmento,segment
"rest/ado,-adi","sejorn/e,-ar"
"selekt/i,-o","select/er,-ion"
mem,self
"semajn/o,-a","seman/e,-al"
"ŝajn/i,-o","sembl/ar,-antie"
"sem/o,-i","sem/e,-ar"
duon,semi=demi
ĉiam,sempre
"sinjor/o,-ino","senior,-a"
senco,sense
sentema,sensibil
"sens/o,-a","sensu,-al"
"sent/o,-i,-ebla","sent/e,-ir,-ibil"
"separ/i,-o","separ/ar,-ation"
septembro,septembre
"sepulti, entombigi",sepulter
putra,septic
"sekvi, sinsekvo","sequ/er, -entie"
serĉi,serchar
serena,seren
serĝento,sergente
"serpent/o,-a","serpent/e,-in"
serioza,seriosi
"kunpremi, premtenilo","serr/ar,-ette"
seruro,serrure
servico,service
"servo, deĵoro",servicie
buŝtuko,serviette
"serv/i,-isto","serv/ir,-itor"
servuto,servitute
"senreptulo, servitulo",servo
sesio,session
soifo,sete
sep,sett
severa,severi
"seks/o,-a","sexu,-al"
se,si
sibli,sibilar
"sek/a,-igi","sicc,-ar"
fajfi,sifflar
sigelo,sigill
"sign/o,-i,-ifi","sign/e,-ar,-ificar"
"silent/a,-o","silent,-ie"
"silk/o,-a","silk,-in"
"sileb/o,-i","sillab/e,-ar"
simio,simie
"simil/a,-i,-eco","simil,-ar,-itá"
"simpl/a,-igi","simpl/ic,-ificar"
simuli,simular
samtempa,simultan
sen,sin
sinapo,sinap
sincera,sinceri
sindikato,sindicate
plorsingulti,singlutar
"unuopa, singularo","singul,-are"
sinistra,sinistri
senlabora,sinlabor
sino,sinu
sorbi,sirotar
tertremo,sisme
sitelo,sitell
"situ/i,-acio","situ/ar,-ation"
aŭ...aŭ,sive...sive
ses,six
ŝlimo,slamm
"akrig/i,-ilo","slif/ar,-uore"
ĵetilo,sling
"sled/o,-i","slitt/e,-ar"
smirgo,smeril
sobra,sobri
"soci/o,-a,-ala","soci/ete,-al"
kunulo,socio
soklo,socle
blovi,soflar
"sol/a,-eco","sol,-itá"
"sun/o,-a","sol/e,-ari"
ŝu-plando,solea
dimanĉo,soledí
solena,solemni
solida,solid
"solidar/a,-eco","solidari,-ita"
pretendi,solicitar
"solv/i,-/aĵ/o","solu/er,-tion"
"supro, pinto",sommit
"sonĝ/i,-o","somni/ar,-e"
"son/o,-i","son,-ar"
son,"sond/e,-ar"
sordida,sordid
speco,sorte
"suspir/o,-i","sospir/e,-ar"
ofte,sovente
"spac/o,-a","spaci/e,-al"
"fos/ilo,-i","spad/e,-ar"
pasero,sparro
"speci/o,-ala","speci/e,-al"
specimeno,specimen
"spekt/i,-anto","spect/ar,-ator"
spegulo,spegul
"spion/o,-i","spion,-ar"
spiko,spica
spico,spice
spinaco,spinace
"dorn/o,-oplena","spin/e,-osi"
spino,spine dorsal
groso,spin-crusbere
spindelo,spindle
pinglo,spingle
"spir/i,-o","spir/ar,-a"
spirito,spirite
"menso,spirito",spíritu
"brili, belega","splend/er,-id"
ŝtipo,splinte
"lignero, splito",splittre
priŝteli,spoliar
"fianĉ/i,-o,-ino","spon/der,-so,-sa"
spongo,spongie
spontana,spontan
sporada,sporadic
sprono,sporne
alcoholo,sprite
ŝpruci,spruzzar
bobeno,spul
sputi,sputar
skvamo,squame
skermi,squermar
skeleto,squelette
"stabil/a,-igi","stabil,-isar"
"ŝtal/o,-a","stal,-in"
stalo,stalle
"stamp/ilo,-aĵo,-i","stamp,-e,-ar"
farti,standar
"norm/o,-igi","standard/e,-isar"
standardo,standarte
stano,stanno
stari,star
,"stat/e,-al,-mann = ŝtat/o,-a,-viro"
"stacio, stacidomo",station
stato,statu
statuo,statue
starigi,statuer
"stel/o,-a","stell/e,-ari"
"sterk/o,-i","sterc/o,-ar"
"steril/a,-igi","steril,-isar"
terni,sternutar
stilo,stil
"stimul/o,-i","stimul,-ar"
pedunklo,stípite
"stir/ilo,-i","stir,-ar"
stoko,stock
ŝtofo,stoff
"stoik/a,-ismo","stoic,-isme"
"stomak/o,-a","stomac,-al"
"stopi,haltigi",stoppar
cikonio,storc
ŝtormo,storm
stovo,stove
strabi,strabar
"stret/o,-eto","strad/e,-ette"
stranga,strangi
strangoli,stranguler
rimeno,strap
"klopod/o,-i","strapaci/e,-ar"
tavolo,strate
tuj,strax
"strek/o,-i","strec,-ar"
mallarĝa,strett
strikta,strict
"strid/a,-i","strid/ant,-er"
strio,strie
strigli,strigular
piedingo,strip
strumo,struce
strumo,struma
ŝtrumpo,strumpe
"stuk/o,-i","stucc/a,-ar"
"stud/i,-ado","studi/ar,-e"
remburi,stuffar
seĝo,stul
"stult/a,-ulo","stult,-on"
stumpo,stump
stupo,stuppe
sturno,sturne
sia,su
"agrabla, ĉarma",suavi
sub,sub
submetiĝi,subir
subita,subit
"subjekt/o,-iva","subject/e,-iv"
/sub/jugi,subjugar
sublima,sublim
mergi,submerser
submeti,submetter
subordigi /sin/,subordinar /se/
"ridet/i,-o","subri/der,-de"
subskribi,subscrir
"subten/o,-i","subsidi/e,-ar"
substanco,substantie
substantivo,substantive
substitui,substituer
subŝtofo,substoff
substreki,substrecar
pleto,subtasse
subteni,subtener
subtera,subterran
subtila,subtil
subtrahi,subtraer
antaŭurbo,suburbe
subvencio,subvention
"suĉ/i,-infano","suc/ar,-on"
suko,succ
"sekv/i,-anto","succe/der,-ssor"
sukceso,success
"helpo, subteno",succurse
"zorg/o,-i","suci/e,-ar"
"suker/o,-aĵo","sucr/e,-age"
sperti malvenkon,sucumber
"sku/o,-i","sucuss/e,-er"
"sud/o,-a","sud,-ic"
"ŝvit/i,-o","sud/ar,-ore"
"kudr/i,-ado,-aĵo","su/er,-tion,-tura"
sufiĉi,suficer
sufikso,sufixe
sufleo,suflé
suflori,suflar
sufoki,sufocar
elektorajto,sufragie
"sufer/i,-o","sufr/er,-entie"
"sugest/i,-o","suggest/er,-ion"
sinmortigo,suicidie
"sulk/o,-i","sulc/a,-ar"
luti,suldar
"sulfur/o,-a","sulfur,ric"
"sum/o,-igi","summ/a,-ar"
"tero, grundo",suol
"sup/o,-ujo","sup,-iere"
"vespermanĵ/o,-i","supé,-ar"
"super,-i","súper,-ar"
superba=belega,superb
"surfac/o,-a","superfici/e,-al"
"superflu/a,-i","superflú,-er"
supera,superiori
"superstiĉ/o,-a","superstici/e,-osi"
"supervid/i,-o","supervi/der,-sion"
suplemento,suplement
"mortpun/o,-i","suplici/e,-ar"
"apog/o,-i","suport/e,-ar"
"supoz/i,-o","supos/ir,-ition"
supre,supra
subpremi,supresser
sur,sur
"surd/a,-muta","surd,-imut"
suro,sure
"surpriz/o,-i","surpris/e,-ar"
"elir/i,-o","surt/ir,-ida"
"suspekt/a,-i,-o","suspect,-er,-ion"
"eksig/i,-o","suspen/der,-sion"
susuri,susurrar
memoraĵo,suvenire
svelta,svelt
naĝi,svimmar
"pork/o,-a","svin,-in"
tien,ta
tabano,tabane
tablo,table
"tabul/o,-eto","tabul,-ette"
"silent/i,-o","tac/er,-entie"
"task/o,-i","tach/e,-ar"
silentema,taciturn
"takt/o,-i","tact/e,-ar"
tia,tal
talko,talc
talero,táler
"tajl/o,-i,-oro","talli/e,-ar,-ero"
tiamaniere,talmen
kalkanumo,talon
talpo,talpe
tiel,tam
"tambur/o,-i","tambur,-ar"
tamen,tamen
"stop/i,-ilo","tamp/ar,-on"
tiam,tande
"tan/i,-/in/o","tann/ar,-ine"
tiom,tant
onklino,tanta
"tapet/o,-i","tapet/e,-ar"
tapiŝo,tapisse
"ŝtop/ilo,-i","tapon,-ar"
esti malcerta,tappar
"malfrua, tarda",tard
tarifo,tarif
fringelo,tarine
torto,tarte
poŝo,tasca
taso,tasse
klavo,taste
tetui,tatuar
taŭro,tauro
taverno,taverne
melo,taxon
cin,te
teo,té
teatro,teatre
tegmento,tegment
tegolo,tegul
"tem/o,-a","tema,-tic"
vetero;-tempesto,temp/e;-este
moderigi,temperar
tempio,tempie
templo,temple
"takto, ritmo, rapid/ec/o",tempo
tempo,tempore
obstina,tenaci
tendo,tenda
"streĉ/i,-o,tensio","ten/der,-sion"
"tendenc/o,-a","tendent/ie,-iosi"
tendeno,tendon
tenera,tendri
tenebro=mallumo,tenebre
"ten/i,-ilo","ten/er,-ette"
tenio,tenia
tenono,tenon
"tent/i,-o","tent/ar,-ation"
maldika,tenui
tepida,tepid
terebinto,terebint/in/e
termofonto,terme
"termlim/o,-i","termin/e,-ar"
termino,termino
tero,terra
tereno,terren
"terur/i,-a","terr/er,-ibil"
"teror/o,-adi","terror,-isar"
triono,ters
tezo,tese
"test/o,-i,-amento","test,-ar,-ament"
"atest/anto/o,-i","testimon,-ie,-iar"
"mampinto, cico",tette
"teks/i,-isto","text/er,-ero"
"tekst/o,-a","textu,-al"
tiu /ĉi/,ti /ci/
1.tiko 2.iksodo,tic
"tiktak/i,-o","tic-tac/ar,-ament"
tikli,ticlar
tifo,tif
ĝis,til
tilio,tilie
timbalo,timbale
"tim/i,-ema,-o","tim/er,-id,-ore"
timono,timon
timpano,timpane
tindro,tindre
tino,tine
tineo,tinea
"tinkturi, farbi",tinter
tinti,tintlnar
"tip/o,-a","tip,-ic"
frapeti,tippar
kulo,típul
1.tiri 2.pafi,tirar
"tiran/o,-i","tirann/e,-issr"
tikli,titillar
"tltol/o,-i","titul,-ar"
tio,to
mantuko,toale
tufo,toffe
"toler/i,-ema,-ebla","toler/ar,-ant,-abil"
volumo,tom
"tomb/o,-ejo","tomb/e,-eria"
"tond/i,-/ad/o","ton/der,-sura"
"tun/o,-aro","tonn/e,-age"
"tondr/o,-i","tónner/e,-ar"
tonsilo,tonsille
torako,torax
torĉo,torche
"tord/i,-/ad/o","tor/der,-sion"
torfo,torfe
"torment/o,-i","torment/e,-ar"
"torn/i,-ilo; turni","torn/ar,-uore"
torento,torrente
torto,torte
testudo,tortug
"tortur/o,-i","tortur/a,-ar"
frua,tost
tuta; totala,tot; totala
toksa,toxic
tra,tra
traĥeo,traché
"trace/o,-i","traci/e,-ar"
"trakt/i,-aĵo","tract/ar,-ate"
transdoni,tradir
"tradici/o,-a","tradition,-al"
"traduk/i,-o","traduct/er,-ion"
treni,traer
trafiko,trafic
"perfid/i,-o","trah/ir,-ition"
trampo,tramp
tranĉi,tranchar
tranĉeo,trenché
"trankvil/e,-o,-igi","tranquil,-itá,-isar"
trans,trans
"transakci/i,-o","transact/er,-ion"
transcenda,transcendent
"transform/i,-atoro","transform/ar,-ator"
"transfuz/i,-o","transfus/er,-ion"
transpaŝi,transgresser
"transir/i,-o","trans/ir,-ition"
,transitiv i tranzitiva /verbo/
"traduk/i,-o","translat/er,-ion"
"translok/i,-o","transloc/ar,-ation"
"transmisi/i,-o","transmiss/er,-ion"
diafana,transparent
transplanti,transplantar
transversa,transversal
transverŝi,transversar
kaptilo,trappe
trajto,trate
trato,tratte
trabo,trave
transtrabo,traverse
alivesti,travestir
tre,tre
krado,trellie
/tim/tremo,trema
"trem/i,sku/i,-iĝo","trem/er,-ore"
tremolo,trémul
"trajno, vagonaro",tren
treni,trenar
trezoro,tresor
"harplekt/o,-i","tress/e,-ar"
tri,tri
tribo,tribe
imposti,tribuer
turmenti,tribular
tribunalo,tribunale
truko,tric
"trikot/o,-aĵo","tricot,-age"
trifolio,trifolie
"tril/o,-i","trill,-ar"
"trink/i,-aĵo","trinc/ar,-age"
triopo,trinitá
"trist/a,-o","trist,-esse"
pecetigi,triturar
triviala,trivial
tro,tro
trofeo,trofé
trombo,trombe
rostro,trompe
"tron/o,-i","tron,-ar"
"tropik/a,-zono","trop/ic,-es"
troti,trottar
trotuaro,trottuore
trovi,trovar
malklara,trubli
trufo,truffle
atuto,trump
"truapet/o,-i","trumpet/e,-ar"
trunko,trunc
truto,trute
"car/o,-ino","tsar,-essa"
"ci, cia","tu, tui"
tubo,tube
túbero,túbere
"tuberkul/o,-ozo","tubércul,-ose"
tuŝi,tuchar
tulipo,tulip
"ŝvel/i.-aĵo, tumoro","tum/er,-ore"
tumulo,tumul
tumulto,tumultu
"perturbi, ĝeni",turbar
turbino,turbine
turdo,turdo
turo,turre
turto,turtur
"tus/o,-i","tuss/e,-ar"
tusilago,tussilago
ci-diri,tutear
"kuratoro, protektoro",tutor
kie; kien; de kie,ú; ad ú; de ú
ĉie/est/a,ubiqui
kieajn,ucunc
strigo,ul
ulcero,ulcere
plua,ulteriori
lasta,ultim
"krom, escepte de",ultra
ululi,ulular
unbiliko,unbilico
"unu,-a,-igi,-eco","un,-ésim,-ir,-itá"
reciproke,unaltru
unco,uncie
ŝmiri,uncter
"ond/o,-i","und/e,-ear"
ondumi,undular
ungvento,unquente
ungo,úngul
unio,union
"iam, foje",unquande
"unuoble, unufoje",unvez
supren,up
uragano,uragane
urino,urine
"urĝ/i,-a","urg/er,-ent"
uro,uro
urogalo,urogallo
"urs/o,-a","urs/o,-in"
urtiko,urtica
"uz/i,-o,-ado","us/ar,-a,-ada"
uzino,usina
"kutim/o,-a","usu,-al"
uzuro,usure
ilaro,utensile
"util/a,-igi","util,-isar"
"grapolo, /vin/beraro",uve
uvulo,uvul
mi faros,va: yo va far
"vak/i,-anta","vac/ar,-ant"
"ferio, libertempo",vacantie
"bov/ino,-ido","vacc/a,-ello"
"vakcin/o,-i","vaccin/e,-ar"
vakcinio,vaccinie
trembrili,vacilar
"vaku/a,-i,-o","vacu/i,-ar,-um"
vadejo,vada
iri,vader
vaflo,vaffle
"nedifinita, necerta",vag
"veg/i,-ulo","vag/ar,-ard"
"vagin/o,-a","vagin/e,-al"
vagono,vagon
"valid/i,-a,-eco","val/er,-id,-iditá"
valizo,valise
valoro,valore
remparo,vall
valo,valley
valuto,valute
valvo,valve
"van/a,-eco","van,-itá"
vant/em/a,"vanit/ari,-osi"
vanteco,vaniglorie
vaporo,vapor
vaporŝipo,vapor-nave
"vari/e,-ebla",vari/e.-abil
diverseco,varietá
variko,varice
varicelo,varicelle
variolo,variole
vazo,vase
vasalo,vassale
vasta,vast
"vat/o,-i","vett/e,-ar"
ve!,vé!
vegeti,vegetar
vegetarano,vegetariane
energia,vehement
vehiklo; vetur/ili,"vehicul,-ar"
"vual/o,-i","vel/e,-er"
ai farus,vell: yo vell far
rapida,veloci
veluro,velur
"vend/i,-o,-ebla","vend/ir,-e,-ibil"
vejno,vene
veneno,venen
honori,venerer
venoredo,venerdí
veni,venir
"venĝ/o,-i","venj/a,-ar"
"vent/o,-a","vent/e,-osi"
ventumilo,ventol
ventro,ventre
ventriklo,ventricul
"ver/a,-o","ver,-itá"
legalizi,"ver,-ificar"
verbo,verbe
"verd/e,-iĝi","verd/i,-eer"
verdikto,verdicte
vergo,verge
"verm/o,-ohava","verma/e,-atri"
"printemp/o,-a","vern/e,-al"
verniso,vernisse
directe al,vers
verŝi,versar
"vers/o,-i","vers/e,-ificar"
verŝajna,versimil
antaьa flanko,verso
vertebro,vertebre
reversi,verter
vertico,vertice
vertikala,vertical
vertiĝo,vertigine
"virt/o,-a","vertú,-osi"
veruko,veruca
vervo,verve
veziketo,vesícul
vespo,vespe
"vesper/o,-a","vesper,-al"
veziko,vessica
"vest/i,-o","vest/ir,-e"
vestiĝo,vestigie
veterinaro,veterinario
turmenti,vexar
duoble,vez: du vez
"vidu,- jen",vi
"voj/o.-aĝo,-aĝi","vi/a,-age,-agear"
viadukto,viaducte
"horaro, horlibro",viarium
vikario,vicario
"anstateŭ,-i","vice,-ar"
"malvirt/o,-e","vici/e,-osi"
"nsjbar/a,-o,-eco","vicin,-o,-itá"
"venk/i,-into,-o","vict/er,-or,-orie"
viktimo,victime
nutraĵoj,victuales
"vid/i,-ebla","vi/der,-sibil"
"vidv/o,-ino","vidu/o,-a"
"vigl/a,-i","vigil,-ar"
"vivpotenco, esti vitala","vig/ore,-er"
malnobla,vili
fia,vilan
"vilaĝ/o,-a","villag/e,-ean"
"vin/o,-berejo","vin,-iera"
vinagro,vinagre
vinjeto,viniette
"violent/a,-i","violent,-ar"
violo,violette
violono,violine
vipero,vípere
vira virino,virago
virgino,virgina
vira,viril
"/akvo-,vento-/ vortico",virle
"ŝajna, kvazaŭa, inaga",virtual
viskoza,viscosi
vizo,visa
vizaĝo,visage
visceroj,visceres
vizio,vise
celgrajno,visette
"vizit/i,-o","visit/ar,-ation"
vidkapablo,visivitá
vidaĵo,vista
"vital/a,-eco","vital,-itá"
vito,vite
"vitr/o,-ino /vitroŝranko/","vitr/e,-ine"
"viv/o,-i,-ema","viv/e,-er,-aci"
revivigi,vivificar
vivonaska,vivipari
voki,vocar
vokalo,vocale
voĉo,voce
"promesi, voti",voer
flugi,volar
"vol/i,-o","vol/er,-entie"
volvi,voluer
volumo,volume
volvumeno,voiumine
"volont/eco,-a","volunt/á,-ari"
volupto,voluptá
vomi,vomir
via,vor
"vor/i,-ema","vor/ar,-aci"
vin,vos
voĉdoni,votar
ŝipruino,vrec
vi,vu
vulkano,vulcane
vulgara,vulgari
"vund/o,-i","vúlner/e,-ar"
"volb/o,-igi","vult/e,-ar"
vulturo,vultur
"vato, vatto",watt
okcidento,west
viskio,whisky
vistludo,wist/-lude/
"x-radioj,iks-radioj",X-radies
fremdvortaro,xenolexico
ksilofono,xilofon
ksilografio,xilografie
ja,ya
jaĥto,yacht
"jarno, ŝpinfadeno",yarn
je,ye
flava,yelb
jelpi,yellar
hiereь/a,"yer,-al"
jes,yes
mi,yo
jodli,yodlar
jolo,yoll
jufto,yufte
"yun/a,-ulo,-eco","yun,-o,-esse"
zebro,zebre
zefiro,zefire
zenito,zenite
zigzaga,zig-zag
zinko,zinc
zingibro,zingibre
zibelo,zóbol
zodiako,zodiac
zono,zone
