Esperanto,Occidental
ĉasta,chast
ĉe,che
ĉefo,chef
kesto,chest
"cikan/o,-i","chican/e,-ar"
ĉifono,chifon
fumtubo,chimene
ĉirpi,chiripar
ŝoko,choc
ŝoseo,chosse
flustri,chuchotar
ĉi tie,ci
celtabulo,cible
cikatro,cicatre
cikorio,cicoré
"blind/a,-eco","ciec,-itá"
ĉielo,ciel
cilio,cil
verto,cime
cimo,cimice
cinamo,ciname
cindro,cindre
"zon/i,-o","cint/er,-ura"
cirkaŭ,circa
"rondo,/geom/ cirklo",circul
"ĉirkaŭ,-iri","circum,-ear"
cirkonstanco,~stantie
vakso,cire
cizilo,cisel
tratranĉi,ciser
tondilo,cisores
urbo,cité
civitano,cive
boji,claffar
klami,clamar
klapo,clapp
"klar/a,-igi","clar,-ificar"
klaso,classe
"klasik/a,-ulo","classic,-o"
lami,claudicar
"klavo, ŝlosilo; ĉano; kleo",clave
milda,clement
klifo,cliff
grimpi,climbar
"dekliv/o,-a","clin/e,-i"
klinko,clinc
tintegi,cliquettar
klabo,clob
horo,clocca=hora
"sonor/ilo,-igi","cloche,-ar"
najlo,clove
fermi,cluder
koboldo,cobold
"inkubo, terursonĝo",cochemare
"kuir/i,-ejo,-ist","cocin/ar,-ería/ero"
kulero,coclare
kodo,code
samideano,coidealist
koincidi,coincider
kolo,col
kunlabori,colaborar
kolumo,colare
"kolekt/i,-o","colect/er,-ion"
"koler/o,-i","coler/e,-ar"
"kolizi/i,-o","coli/der,-sion"
rikolti,colier
monteto,coline
dupunkto,colon
"kolon/o,-aro","colonn/e,-ade"
lignaĝa gluo,colle
"kolor/o,-i","color,-ar"
bato,colp
kolubro,colubre
kolombo,columbe
kunbatali,combatter
forbruligi,combuster
sendi,comendar
komenci,comensar
komerco,comercie
"estigi, fari",cometter
"komik/a,-ulo","comic,-o"
"komisi/i,-o",comiss/er -ion
komitato,comité
komo,comma
komizo,commí
komforta,comod
kompakta,compact
"kompan/o,-io","compan/e,-ie"
"kompar/i,-o","compar/ar,-ation"
komparativo,comparative
"kompat/i,-o","compat/ir,-iment"
samlandano,compatriot
"kompens/i,ado","compens/ar,-ation"
"konkur/i,-ado","compet/ir,-ition"
