這 ; 这 ; zhè ; HSK1,ti-ci
中國 ; 中国 ; Zhōngguó ; HSK1,China
中午 ; 中午 ; zhōngwǔ ; HSK1,midí
住 ; 住 ; zhù ; HSK1,habitar; residar; haltar
桌子 ; 桌子 ; zhuōzi ; HSK1,table; scri-table
字 ; 字 ; zì ; HSK1,líttere; caractere
昨天 ; 昨天 ; zuótiān ; HSK1,yer
做 ; 做 ; zuò ; HSK1,far; crear
坐 ; 坐 ; zuò ; HSK1,seder
吧 ; 吧 ; ba ; HSK2,"particul quel indica un polit suggestion; | li son 'ba' | bar (trincatoria, internet-café, etc.)"
白 ; 白 ; bái ; HSK2,blanc; niveosi; pur; clar; vacui
百 ; 百 ; bǎi ; HSK2,cent
幫助 ; 帮助 ; bāngzhù ; HSK2,auxiliar; apoyar
報紙 ; 报纸 ; bàozhǐ ; HSK2,jurnale; gazette
比 ; 比 ; bǐ ; HSK2,comparar; quam (plu/minu quam…); gesticular durant parlada
別 ; 别 ; bié ; HSK2,"ne (ne far, stopp); | departer; | altri; diferentie; distinter"
賓館 ; 宾馆 ; bīnguǎn ; HSK2,hotel; albergo; gastería
"長 ; 长 ; cháng, zhǎng ; HSK2",long; longore | crescer; chef
唱歌 ; 唱歌 ; chànggē ; HSK2,cantar (un canzon)
出 ; 出 ; chū ; HSK2,departer; evenir
穿 ; 穿 ; chuān ; HSK2,vestir; penetrar
次 ; 次 ; cì ; HSK2,vez; -esim; órdine
從 ; 从 ; cóng ; HSK2,de; ex; obedir; observar
錯 ; 错 ; cuò ; HSK2,erra; errar; missuccessar
打籃球 ; 打篮球 ; dǎ lánqiú ; HSK2,far basketballe
大家 ; 大家 ; dàjiā ; HSK2,omnes
到 ; 到 ; dào ; HSK2,arivar (a un loc); til (un témpor)
得 ; 得 ; de ; HSK2,(particul complementari pos un verbe)
等 ; 等 ; děng ; HSK2,atender; rang; gradu; egal; etc.
弟弟 ; 弟弟 ; dìdi ; HSK2,(plu yun) fratre
第一 ; 第一 ; dìyī ; HSK2,prim; numeró 1
懂 ; 懂 ; dǒng ; HSK2,comprender; saver
對 ; 对 ; duì ; HSK2,corect; un pare; faciar; star vis-a-vis; vers
房間 ; 房间 ; fángjiān ; HSK2,chambre
非常 ; 非常 ; fēicháng ; HSK2,extraordinarimen; tre
服務員 ; 服务员 ; fúwùyuán ; HSK2,servitor(a)
高 ; 高 ; gāo ; HSK2,alt
告訴 ; 告诉 ; gàosu ; HSK2,dir; narrar; informar
哥哥 ; 哥哥 ; gēge ; HSK2,(plu old) fratre
給 ; 给 ; gěi ; HSK2,dar; octroyar; (particul passiv)
公共汽車 ; 公共汽车 ; gōnggòng qìchē ; HSK2,(public) autobus
公司 ; 公司 ; gōngsī ; HSK2,firma; corporation
貴 ; 贵 ; guì ; HSK2,car; nobil; nobli; provincie Guizhou (abreviation)
過 ; 过 ; guò ; HSK2,passar; crucear; (indica un experientie in li passate)
還 ; 还 ; hái ; HSK2,ancor; in plu; mem
孩子 ; 孩子 ; háizi ; HSK2,infante; filie
好吃 ; 好吃 ; hǎochī ; HSK2,gustosi; saporosi
黑 ; 黑 ; hēi ; HSK2,nigri; obscur; provincie Heilongjiang (abreviation)
紅 ; 红 ; hóng ; HSK2,rubi; simbol de successe; bonus; populari
火車站 ; 火车站 ; huǒchēzhàn ; HSK2,station ferroviari
機場 ; 机场 ; jīchǎng ; HSK2,aeropartu; aerodrom
雞蛋 ; 鸡蛋 ; jīdàn ; HSK2,ove (de galline)
件 ; 件 ; jiàn ; HSK2,"(contator por coses, vestimentes)"
教室 ; 教室 ; jiàoshì ; HSK2,sala de classe
姐姐 ; 姐姐 ; jiějie ; HSK2,(plu old) sestra
介紹 ; 介绍 ; jièshào ; HSK2,introducter; recomandar; introduction
進 ; 进 ; jìn ; HSK2,intrar
近 ; 近 ; jìn ; HSK2,proxim
就 ; 就 ; jiù ; HSK2,poy; strax; solmen; pri
覺得 ; 觉得 ; juéde ; HSK2,sentir; pensar
咖啡 ; 咖啡 ; kāfēi ; HSK2,café (trincage)
開始 ; 开始 ; kāishǐ ; HSK2,comensar; comense
考試 ; 考试 ; kǎoshì ; HSK2,exámine; examinar
可能 ; 可能 ; kěnéng ; HSK2,possibil; fórsan
可以 ; 可以 ; kěyǐ ; HSK2,posser; licet; possibil; oké
課 ; 课 ; kè ; HSK2,classe; subjecte; lection; cursu
快 ; 快 ; kuài ; HSK2,rapid; strax
快樂 ; 快乐 ; kuàilè ; HSK2,felici
累 ; 累 ; lèi ; HSK2,fatigat
離 ; 离 ; lí ; HSK2,departer; separar
兩 ; 两 ; liǎng ; HSK2,du; ambi
零 ; 零 ; líng ; HSK2,zero; lu restant
路 ; 路 ; lù ; HSK2,via; viage; rute
旅游 ; 旅游 ; lǚyóu ; HSK2,viage; tur
賣 ; 卖 ; mài ; HSK2,vendir
慢 ; 慢 ; màn ; HSK2,lent
忙 ; 忙 ; máng ; HSK2,ocupat
每 ; 每 ; měi ; HSK2,chascun; omni; singul
妹妹 ; 妹妹 ; mèimei ; HSK2,(plu yun) sestra
門 ; 门 ; mén ; HSK2,porta; apertura
面條 ; 面条 ; miàntiáo ; HSK2,nudle
男 ; 男 ; nán ; HSK2,mann
您 ; 您 ; nín ; HSK2,"vu (singul, polit)"
牛奶 ; 牛奶 ; niúnǎi ; HSK2,lacte (de un vacca)
女 ; 女 ; nǚ ; HSK2,fémina; feminin
旁邊 ; 旁边 ; pángbiān ; HSK2,látere; lateral
跑步 ; 跑步 ; pǎobù ; HSK2,currer; trottar
便宜 ; 便宜 ; piányi ; HSK2,modic
票 ; 票 ; piào ; HSK2,billete; bank-nota; un vote
妻子 ; 妻子 ; qīzi ; HSK2,marita
起床 ; 起床 ; qǐ chuáng ; HSK2,stantar se (exeante li lette); avigilar se
千 ; 千 ; qiān ; HSK2,mill
鉛筆 ; 铅笔 ; qiānbǐ ; HSK2,crayon
晴 ; 晴 ; qíng ; HSK2,"clar; fin (li tempe, etc.)"
去年 ; 去年 ; qùnián ; HSK2,li annu passat
讓 ; 让 ; ràng ; HSK2,petir; lassar
日 ; 日 ; rì ; HSK2,sole; die; date; témpor
上班 ; 上班 ; shàngbān ; HSK2,comensar laborar; dejorar; esser de servicie
身體 ; 身体 ; shēntǐ ; HSK2,córpor homan
生病 ; 生病 ; shēngbìng ; HSK2,devenir malad
生日 ; 生日 ; shēngrì ; HSK2,anniversarie (de nascentie)
時間 ; 时间 ; shíjiān ; HSK2,témpor; periode
事情 ; 事情 ; shìqing ; HSK2,afere; cose
手表 ; 手表 ; shǒubiǎo ; HSK2,tasca-horloge
手機 ; 手机 ; shǒujī ; HSK2,portabile (telefon)
說話 ; 说话 ; shuōhuà ; HSK2,parlar
送 ; 送 ; sòng ; HSK2,liverar; dar; misser; inviar
雖然 ; 虽然 ; suīrán ; HSK2,malgré; totvez
但是 ; 但是 ; dànshì ; HSK2,ma; támen
它 ; 它 ; tā ; HSK2,it
踢足球 ; 踢足球 ; tīzúqiú ; HSK2,luder futballe
題 ; 题 ; tí ; HSK2,subjecte; question in un exámine
跳舞 ; 跳舞 ; tiàowǔ ; HSK2,dansar
外 ; 外 ; wài ; HSK2,extern; in plu; foren
完 ; 完 ; wán ; HSK2,finir se; complet
玩 ; 玩 ; wán ; HSK2,luder; juir; amusar se
晚上 ; 晚上 ; wǎnshang ; HSK2,vésper; nocte
往 ; 往 ; wǎng ; HSK2,vader (vers un direction); verse; in li passate
為什麼 ; 为什么 ; wèishénme ; HSK2,pro quo?
問 ; 问 ; wèn ; HSK2,questionar; inquisiter
問題 ; 问题 ; wèntí ; HSK2,question; problema
西瓜 ; 西瓜 ; xīguā ; HSK2,aquamelon
希望 ; 希望 ; xīwàng ; HSK2,desirar; esperar
洗 ; 洗 ; xǐ ; HSK2,lavar (se)
小時 ; 小时 ; xiǎoshí ; HSK2,hor
笑 ; 笑 ; xiào ; HSK2,rider; subrider
新 ; 新 ; xīn ; HSK2,nov; region autonom de Xinjiang (abreviation)
姓 ; 姓 ; xìng ; HSK2,surnómine; nómine de familie
休息 ; 休息 ; xiūxi ; HSK2,reposar
雪 ; 雪 ; xuě ; HSK2,nive
顏色 ; 颜色 ; yánsè ; HSK2,color
眼睛 ; 眼睛 ; yǎnjing ; HSK2,ocul
羊肉 ; 羊肉 ; yángròu ; HSK2,agnine
藥 ; 药 ; yào ; HSK2,medicament; droque; chimicalie
要 ; 要 ; yào ; HSK2,voler; besonar; va; important
也 ; 也 ; yě ; HSK2,anc; in plu
一起 ; 一起 ; yìqǐ ; HSK2,junt; in li sam loc
一下 ; 一下 ; yíxià ; HSK2,pos un poc; un vez
已經 ; 已经 ; yǐjing ; HSK2,ja
意思 ; 意思 ; yìsi ; HSK2,signification; idé; opinion
因為 ; 因为 ; yīnwèi ; HSK2,nam
所以 ; 所以 ; suǒyǐ ; HSK2,talmen; pro to; quam resultate
陰 ; 阴 ; yīn ; HSK2,nubat; yin (contra yang); secrete; lune; negativ; ombre
游泳 ; 游泳 ; yóuyǒng ; HSK2,svimmar
右邊 ; 右边 ; yòubian ; HSK2,dextri
魚 ; 鱼 ; yú ; HSK2,pisc
遠 ; 远 ; yuǎn ; HSK2,lontan; distant
運動 ; 运动 ; yùndòng ; HSK2,exercicie (fisic/corporal); movement; sport; campanie
再 ; 再 ; zài ; HSK2,denov; un vez plu
早上 ; 早上 ; zǎoshang ; HSK2,(tost in li) matine
丈夫 ; 丈夫 ; zhàngfu ; HSK2,marito; mann
找 ; 找 ; zhǎo ; HSK2,serchar; dar micri moné
著 ; 着 ; zhe ; HSK2,-nt (monstrant un action continuant)
真 ; 真 ; zhēn ; HSK2,ver; genuin; autentic
正在 ; 正在 ; zhèngzài ; HSK2,esser fant (un cose); actualmen
知道 ; 知道 ; zhīdao ; HSK2,saver; esser conscient
准備 ; 准备 ; zhǔnbèi ; HSK2,preparar se
走 ; 走 ; zǒu ; HSK2,vader; marchar; ear; mover
最 ; 最 ; zuì ; HSK2,max
左邊 ; 左边 ; zuǒbian ; HSK2,levul
阿姨 ; 阿姨 ; āyí ; HSK3,tanta; bel-matre; step-matre; yun sestra del matre
啊 ; 啊 ; a ; HSK3,"ah; (particul monstrant surprise, dúbite, aprobation, etc.)"
矮 ; 矮 ; ǎi ; HSK3,curt; bass
愛好 ; 爱好 ; àihào ; HSK3,hobby; amar; interessar se pri
安靜 ; 安静 ; ānjìng ; HSK3,quiet; pacific; calm
把 ; 把 ; bǎ ; HSK3,(contator por coses con manuettes); (particul pretransitiv); tener
班 ; 班 ; bān ; HSK3,equip; classe; escadron
搬 ; 搬 ; bān ; HSK3,translocar; transportar
辦法 ; 办法 ; bànfǎ ; HSK3,metode (a far alquo)
辦公室 ; 办公室 ; bàngōngshì ; HSK3,oficie
半 ; 半 ; bàn ; HSK3,demí; semi-; íncomplet
幫忙 ; 帮忙 ; bāngmáng ; HSK3,auxiliar
包 ; 包 ; bāo ; HSK3,"covrir; voluer; tener; includer (contator por buxes, paquettes, etc.)"
飽 ; 饱 ; bǎo ; HSK3,manjar til plenitá; satisfat
北方 ; 北方 ; běifāng ; HSK3,nord; nord parte de un país
被 ; 被 ; bèi ; HSK3,per (forma li passive); un covri-lette; lett-covritura
鼻子 ; 鼻子 ; bízi ; HSK3,nase
比較 ; 比较 ; bǐjiào ; HSK3,comparar; contrastar; relativmen
比賽 ; 比赛 ; bǐsài ; HSK3,(sport) match; concurrentie
筆記本 ; 笔记本 ; bǐjìběn ; HSK3,nota-librette
必須 ; 必须 ; bìxū ; HSK3,dever; besonar
變化 ; 变化 ; biànhuà ; HSK3,changear
別人 ; 别人 ; biéren ; HSK3,altres
冰箱 ; 冰箱 ; bīngxiāng ; HSK3,refrigerator
不但 ; 不但 ; búdàn ; HSK3,ne solmen
而且 ; 而且 ; érqiě ; HSK3,in plu; e
菜單 ; 菜单 ; càidān ; HSK3,menú
參加 ; 参加 ; cānjiā ; HSK3,partiprender; adherer se a
草 ; 草 ; cǎo ; HSK3,herbe; pallie; esquisse (de un manuscrite)
層 ; 层 ; céng ; HSK3,"(contator por etages, strates)"
