English,Gothic
opposition (^andsatjan + -eins)  ,Andasateins (f. I)
"to contrast (+ and, with/against) (extension of meaning based on contrast NE, compare andstæða Is)  ",Andstandan (strong VI)
contrast (nominalisation of andstandan)  ,Andstass (f. I)
"attempt, try (nominalisation of ^fairsokjan, see sokns, compare with Versuch NHG)  ",Fairsokns (f. I)
actively (^hros + -ba)  ,Hrozaba (adv.)
"merry, awake, brisk (indirectly attested through mundrei, compare munter NHG)  ",Mundrs (adj. A)
"to encourage (us- + ^mundrs + -jan) (calque of ermutigen NHG, oppmuntre No)  ",Usmundrjan (weak I)
to discourage (and- + ^mundrs + -jan) (calque of demutigen NHG)  ,Andmundrjan (weak I)
encouraging (pres. part. of ^usmundrjan)  ,Usmundrjands (adj. Nds)
discouraging (pres. part. of ^andmundrjan)  ,Andmundrjands (adj. Nds)
encouragement (^usmundrjan + -eins)  ,Usmundreins (f. I)
discouragement (^andmundrjan + -eins)  ,Andmundreins (f. I)
to suppress (calque of supprimō L)  ,Ufþrukjan (weak I)
suppression (^ufþrukjan + -eins)  ,Ufþrukeins (f. I)
codify (ga- + ^kodaiks + -jan)  ,Gakodaikjan (weak I)
codification (^gakodaikjan + -eins)  ,Gakodaikeins (f. I)
"to further, promote (fruma + -jan) (calque of *framjanan PG, see KG fördern)  ",Frumjan (weak I)
"promotion, furthering (^frumjan + -eins)  ",Frumeins (f. I)
"in the sense of (calque of im Sinne von NHG, í skilningi Is)  ",In fraþja fram (phr.) (+ dat.)
in a X sense  ,In biþiudeinai X (phr.)
absolute (extension of meaning based on Latin and Greek)  ,Fullatojis (adj. A)
"in reference to (calque of Is, NHG, Nor, NE)  ",In fairweisonai du (+ dat)
intolerant (un- + þulan + -nds) Unþulandei (a. N) intolerance (unþulands + -ei) ,Unþulands (adj. weak)
an etymology (for a particular word) (calque of orðsifjar Is) (waurd + sibja)  ,Waurdasibja (f. O)
etymology (origin of words in general) (^waurdasibja)  ,"Waurdasibjos (f. O, plural only)"
etymology (field of study) (calque of orðsifjafræði Is) (^waurdasibja + -leisei)  ,Waurdasibjaleisei (f. N)
etymological (^waurdasibja + -leiks)  ,Waurdasibjaleiks (adj. A)
etymologically (^waurdasibjaleiks + -o)  ,Waurdasibjaleiko (adv.)
"color, colour (from *farwō PG)  ",Farwa (f. O)
"colorless, colourless (^farwa + -laus)  ",Farwalaus (adj. A)
"odorless, odourless (dauns + -laus)  ",Daunilaus (adj. A)
chemical (calque from efna- Is) (prefixing of ^abni)  ,Abnja- (pref.)
to combine (compare combīnō L)  ,Miþbindan (strong III)
"combination, compound (nominalisation of ^miþbindan, compare with gabundi) (second meaning also found in Verbindung NHG, samband Is)  ",Miþbundi (f. O)
"countess (grefja + -inja) (compare Swedish Grevinna, German Gräfin)  ",Grefinja (f. O)
praise (from Proto-Germanic *leubą)  ,Liuf (n.A)
"beloved, dear (from Proto-Germanic *leubaz)  ",Liufs (adj.A)
"Gothic (subculture, fashion) (from French gothique)  ",Gauþiks (adj.A)
dwarf (from Proto-Germanic *dwergaz)  ,Dwairgs (m.A)
elf (from Proto-Germanic *albiz)  ,Alfs (m.I)
"doomed, marked to die (from Proto-Germanic *faigijaz)  ",Fagjis (adj. Ja)
fairy (from Old French feie)  ,Faija (f.A)
Glucose (from Greek γλεῦκος)  ,Glaiwkus (m.U)
-ose (chemical sugar affix) (taken from glaiwkus as in English)  ,-us (m.U)
sucrose (Calque of sucrose)  ,Sakkarus (m.U)
malt (from Proto-Germanic *maltą)  ,Malt (n.A)
maltose (Calque of English name)  ,Maltus (m.U)
diabetes (Calque of Danish sukkersyge)  ,Sakkrasiukei (f.N)
"hug, embrace (from Proto-Germanic *faþmaz)  ",Faþms (m.A)
"to hug, to embrace (from Proto-Germanic *faþmōną)  ",Faþmon (weak 2)
Kami (Shinto spirit) (from Japanese 神)  ,Kami (n.ja)
to digest (Calque of Latin dīgerō)  ,Twisbairan (strong 4)
"digestion (twisbairan^ 'to digest' + -sna 'tool, mechanism for')  ",Twisbairsna (f.O)
"anemia (blodalaus (bloodless), Calque of Greek αναιμα + siukei 'illness')  ",Blodalausasiukei (f.N)
-lysis (calque of Greek λύσις)  ,-lausands (m.C)
hemolysis (Calque of Greek αιμαλυσις)  ,Blodalausands (m.C)
hemolytic anemia (lit. Sickness of loosening blood)  ,Blodalausandasiukei (f.N)
leukemia (Calque of Greek λευκός 'white' and αιμα 'blood' + siukei)  ,Hweitablodasiukei (f.N)
"to fester, to become infected (from Proto-Germanic *sweraną)  ",Swairan (strong 4 verb)
"infected, fetid (past participle of swairan)  ",Swaurans (adj.A)
ulcer (from Proto-Germanic *swerô)  ,Swaira (n.N)
infection (swairan + -eins)  ,Swaireins (f.I/O)
"boil, pimple (from Proto-Germanic **būlō)  ",Bûla (m.N)
vaccine (Calque of Icelandic bóluefni)  ,Bûlabni (n.ja)
Prime Minister (Calque of Icelandic ráðherra)  ,Gafaurdifrauja (m.N)
constitution (calque of Latin constitutio)  ,Ussateins (f.I/O)
constitutional  ,Ussateinigs (adj.A)
archipelago (Calque of Greek ἀρχιπέλαγος)  ,Marifrauja (m.N)
"to consist (af + dat., of) (calque from cōnsistō L, samanstanda Is)  ",Miþstodjan (weak I)
consistence (^miþstodjan + -eins)  ,Miþstodeins (f. I)
"Pacific Ocean (haf 'ocean' + Pâkifikus, from Latin pācificus)  ",Haf Pâkifiku (n.A)
"Oxygen (^sûr + -abni) (calque from Sauerstoff NHG, súrefni Is)  ",Sûrabni (n. Ja)
Oxy- (prefixing of ^sûrabni)  ,Sûr- (pref.)
sodium (salt + -abni)  ,Saltabni (n. ja)
halogen (Calque of Greek αλογενος)  ,Saltagabairands (m.C)
Helium (calquing the sun element from Greek Ἥλιος)  ,Sauilabni (n. Ja)
Hydrogen (wato + -abni) (compare with augadauro) (calque from Wasserstoff NHG)  ,Watabni (n. Ja)
"proportion, share, portion (calque from Anteil NHG, Andel Sw)  ",Anadails (f. I)
-ide (chemical suffix) (from Anglo-French -ide)  ,-ida (f.O)
Sodium Hyroxide (lit Hyrdoxide of Sodium)  ,Watasurida Saltabnja
"liquid, fluid (calque of flüssig NHG) (flodus + -gs)  ",Flodugs (adj. A)
"liquidity, fluidity, liquid, fluid (calque of Flüssigkeit NHG)  ",Flodugiþa (f. O)
Shingon Buddhism (from Japanese 真言宗)  ,Siggonsiu (n.U)
"thermo-, temper- (prefixing of heito)  ",Heita- (pref.)
rainbow (from *regnabugô PG)  ,Rignabuga (m. N)
"mixture (nominalisation of blandan, from *blandan PG)  ",Bland (n. A)
"temperature (neologism, ^heita- + mitaþs)  ",Heitamitaþs (f. C)
pressure (^þrukjan + -eins)  ,Þrukeins (f. I)
biology (calque from NE)  ,Libainileisei (f. N)
-logical (^-leisei + -leiks)  ,-leisileiks (adj. A)
biological (^libainileisei + -leiks)  ,Libainileiseileiks (adj. A)
Mahayana (Calque of Sanskrit महायान)  ,Mikilawigs
Vajrayana (Calque of Sanskrit वज्रयान)  ,Lauhmunjawigs (m.A)
"function, role (calque of hlutverk Is) (hlauts + gawaurki)  ",Hlautigawaurki (n. Ja)
Theravada (calque of Sanskrit स्थविरवाद)  ,Alþizalaiseins (f. I)
to freeze (from *freusanan PG)  ,Friusan (strong II)
frost (from *frustaz PG)  ,Frausts (m. A)
"Jinja, Shinto Shrine (from Japanese 神社)  ",Zinzja (f.O)
"Japanese Cypress, Chamaecyparis obtusa (from Japanese 檜)  ",Hinauki (f.jo)
Cleyera japonica (from Japanese 榊)  ,Sakaki (f.jo)
solid (^fastus + -iþa)  ,Fastiþa (f. O)
"steam, vapor, vapour (from *staumaz PG)  ",Staums (m. A)
"mist, fog (from Proto-Germanic *mihstaz)  ",Mihsts (m.A)
plasma (Calque of Icelandic rafgas)  ,Straumagas (n.A)
atmosphere (calque of NE) (^staums + ^ballus)  ,Staumaballus (m. U)
atmospheric (^staumaballus + -gs)  ,Staumaballugs (adj. A)
"fourth, quarter (attested as an adjective)  ",Fidurþa (m. N)
"quantity (attested, extension of meaning based on Menge NHG)  ",Managei (f. N)
"namely (namo + -leiko) (calque of nämlich NHG, namely NE, nefnilega Is)  ",Namnaleiko (adv.)
"to a great extent, largely, to a high degree (du + dails + mikils) (calque of till stor del Sw)  ",Du dailai mikilai (phr.)
weather (from *wedran PG)  ,Wiþr (n. A)
"furthermore (extension of meaning, kinda)  ",Auk (post-pos.)
lake (attested)  ,Marisaiws (m. I)
"marsh, swamp (from *brōkaz PG, compare bruoh OHG)  ",Broks (m. A)
to shear (from *skeranan PG)  ,Skairan (strong IIIJ)
"canal, cut (from *skurdiz PG, meaning of canal borrowed from skurður Is)  ",Skaurþs (f. I)
"and so on, et cetera  ",Jah swa fram (exp.)
"aso., etc, u.s.w. (acronym for jah swa fram)  ",j.s.f. (acr.)
"public, communal (gamains + -gs)  ",Gamainags (adj. A)
"sect (mitons 'thought' + sxaula 'school', lit. school of thought)  ",Mitonisxaula (f.O)
to flow (from Proto-Germanic *flōwaną)  ,Flowan (strong 7 verb)
"Little Demon, Imp (from Italian diavoletto, French diablotin)  ",Diabaulils (n. A)
"gnome, brownie, tomt, house spirit (gards + ahma)  ",Gardahma (m.N)
Zen Buddhism (from Japanese 禅宗)  ,Zainsiu (n.U)
to wander (from *wandrōnan PG)  ,Wandron (weak II)
planet (calque of reikistjarna Is) (*wandra- (from ^wandron) + stairno)  ,Wandrastairno (f. N)
"straight, direct (from *bainaz PG, related to bain) (second meaning found in Icelandic)  ",Bains (adj. A)
indirect (un- + ^bains)  ,Unbains (adj. A)
"vegetable (calque of groente Du, but most Germanic languages call it a green-thing to some extent. In Dutch, groente refers to vegetables in general but in Gothic -iþa refers to an individual plant, like in the word ainiþa)  ",Groniþa (f. O)
molecule (calque of sameind Is) (miþ- + ^ainiþa)  ,Miþainiþa (f. O)
"degree (attested) (from *gridiz PG, related to gradus L)  ",Griþs (f. I)
Celsius (from the name Anders Celsius)  ,"Sailsius (adj., undec.)"
quality (calque from ποιότης OGr. Cicero calqued the word into Latin too: quālitās)  ,Hwaleikiþa (f. O)
unique (extension of attested meaning based on ūnicus L)  ,Ainahs (adj. A)
to float (from *fleutanan PG)  ,Þliutan (strong II)
